Date,Value
29.04.2019,513
06.05.2019,939
13.05.2019,737
20.05.2019,518
27.05.2019,528
03.06.2019,918
10.06.2019,531
17.06.2019,605
24.06.2019,302
01.07.2019,387
08.07.2019,347
15.07.2019,521
22.07.2019,538
29.07.2019,127
05.08.2019,171
12.08.2019,259
19.08.2019,250
26.08.2019,523
02.09.2019,271
09.09.2019,297
16.09.2019,172
23.09.2019,247
30.09.2019,1107
07.10.2019,559
14.10.2019,853
21.10.2019,1017
28.10.2019,665
04.11.2019,5670
11.11.2019,4050
18.11.2019,2253
25.11.2019,1389
02.12.2019,1206
09.12.2019,720
16.12.2019,702
23.12.2019,717
30.12.2019,693
06.01.2020,712
13.01.2020,723
20.01.2020,635
27.01.2020,665
03.02.2020,34
10.02.2020,1078
17.02.2020,713
24.02.2020,776
02.03.2020,612
09.03.2020,225
16.03.2020,353
23.03.2020,405
30.03.2020,429
06.04.2020,417
13.04.2020,833
20.04.2020,732
27.04.2020,789
04.05.2020,822
11.05.2020,502
18.05.2020,498
25.05.2020,744
01.06.2020,506
08.06.2020,383
15.06.2020,507
22.06.2020,567
29.06.2020,462
06.07.2020,482
13.07.2020,765
20.07.2020,462
27.07.2020,840
03.08.2020,705
10.08.2020,515
17.08.2020,484
24.08.2020,3732
31.08.2020,1464
07.09.2020,1291
14.09.2020,1041
21.09.2020,1366
28.09.2020,1470
05.10.2020,1803
12.10.2020,1542
19.10.2020,1188
26.10.2020,1103
02.11.2020,890
09.11.2020,881
16.11.2020,1018
23.11.2020,1363
30.11.2020,1440
07.12.2020,1244
14.12.2020,981
21.12.2020,1078
28.12.2020,924
04.01.2021,968
11.01.2021,1343
18.01.2021,1413
25.01.2021,1641
01.02.2021,1122
08.02.2021,1397
15.02.2021,1816
22.02.2021,1928
01.03.2021,3096
08.03.2021,2994
15.03.2021,2234
22.03.2021,1710
29.03.2021,2099
05.04.2021,2253
12.04.2021,2225
19.04.2021,2492
26.04.2021,3477
03.05.2021,2712
10.05.2021,1229
17.05.2021,1767
24.05.2021,3560
31.05.2021,4861
07.06.2021,9072
14.06.2021,9174
21.06.2021,5995
28.06.2021,6322
05.07.2021,4679
12.07.2021,4408
19.07.2021,6473
26.07.2021,4427
02.08.2021,5630
09.08.2021,5646
16.08.2021,7192
23.08.2021,12054
30.08.2021,9743
06.09.2021,7490
13.09.2021,8657
20.09.2021,9233
27.09.2021,7552
04.10.2021,6076
11.10.2021,7595
18.10.2021,7005
25.10.2021,3898
01.11.2021,8422
08.11.2021,35393
15.11.2021,24394
22.11.2021,15703
29.11.2021,20572
06.12.2021,26319
13.12.2021,28532
20.12.2021,27907
27.12.2021,17580
03.01.2022,17034
10.01.2022,14699
17.01.2022,14149
24.01.2022,13225
31.01.2022,16822
07.02.2022,18609
14.02.2022,17159
21.02.2022,14841
28.02.2022,18099
07.03.2022,21253
14.03.2022,20023
21.03.2022,20476
28.03.2022,11904
04.04.2022,17265
11.04.2022,21103
18.04.2022,30400
25.04.2022,110029
02.05.2022,207917
09.05.2022,35326
16.05.2022,49383
23.05.2022,44288
30.05.2022,23409
06.06.2022,24966
13.06.2022,26041
20.06.2022,29807
27.06.2022,78566
04.07.2022,122583
11.07.2022,59728
18.07.2022,81874
25.07.2022,62466
01.08.2022,65761
08.08.2022,51327
15.08.2022,72258
22.08.2022,83326
29.08.2022,65467
05.09.2022,161437
12.09.2022,79169
19.09.2022,107428
26.09.2022,84944
03.10.2022,50609
10.10.2022,33638
17.10.2022,28310
24.10.2022,26673
31.10.2022,19014
07.11.2022,14561
14.11.2022,17572
21.11.2022,15538
28.11.2022,15218
05.12.2022,12257
12.12.2022,12517
19.12.2022,10729
26.12.2022,9918
02.01.2023,11013
09.01.2023,12249
16.01.2023,14516
23.01.2023,13914
30.01.2023,10569
06.02.2023,10580
13.02.2023,9670
20.02.2023,10281
27.02.2023,8930
06.03.2023,7127
13.03.2023,8462
20.03.2023,13439
27.03.2023,10559
03.04.2023,8417
10.04.2023,6859
17.04.2023,4084
24.04.2023,4192
01.05.2023,1999
08.05.2023,3470
15.05.2023,4302
22.05.2023,4684
29.05.2023,5378
05.06.2023,5803
12.06.2023,10987
19.06.2023,10636
26.06.2023,8179
03.07.2023,5589
10.07.2023,6820
17.07.2023,6737
24.07.2023,7475
31.07.2023,8924
07.08.2023,8819
14.08.2023,9573
21.08.2023,12759
28.08.2023,6863
04.09.2023,6872
11.09.2023,6756
18.09.2023,7431
25.09.2023,12169
02.10.2023,16448
09.10.2023,15642
16.10.2023,14097
23.10.2023,6946
30.10.2023,6453
