Date,Value
29.04.2019,172
06.05.2019,200
13.05.2019,244
20.05.2019,258
27.05.2019,265
03.06.2019,232
10.06.2019,269
17.06.2019,313
24.06.2019,299
01.07.2019,316
08.07.2019,267
15.07.2019,279
22.07.2019,254
29.07.2019,284
05.08.2019,291
12.08.2019,262
19.08.2019,256
26.08.2019,245
02.09.2019,260
09.09.2019,259
16.09.2019,257
23.09.2019,207
30.09.2019,205
07.10.2019,217
14.10.2019,217
21.10.2019,245
28.10.2019,239
04.11.2019,238
11.11.2019,226
18.11.2019,183
25.11.2019,195
02.12.2019,198
09.12.2019,188
16.12.2019,192
23.12.2019,191
30.12.2019,191
06.01.2020,213
13.01.2020,234
20.01.2020,232
27.01.2020,254
03.02.2020,284
10.02.2020,281
17.02.2020,284
24.02.2020,237
02.03.2020,221
09.03.2020,148
16.03.2020,159
23.03.2020,162
30.03.2020,186
06.04.2020,193
13.04.2020,202
20.04.2020,218
27.04.2020,245
04.05.2020,235
11.05.2020,260
18.05.2020,240
25.05.2020,261
01.06.2020,279
08.06.2020,266
15.06.2020,265
22.06.2020,261
29.06.2020,262
06.07.2020,276
13.07.2020,274
20.07.2020,301
27.07.2020,336
03.08.2020,356
10.08.2020,374
17.08.2020,360
24.08.2020,367
31.08.2020,321
07.09.2020,328
14.09.2020,339
21.09.2020,336
28.09.2020,332
05.10.2020,351
12.10.2020,354
19.10.2020,390
26.10.2020,401
02.11.2020,441
09.11.2020,451
16.11.2020,528
23.11.2020,537
30.11.2020,565
07.12.2020,554
14.12.2020,650
21.12.2020,695
28.12.2020,874
04.01.2021,1033
11.01.2021,997
18.01.2021,952
25.01.2021,977
01.02.2021,1169
08.02.2021,1468
15.02.2021,1717
22.02.2021,1366
01.03.2021,1555
08.03.2021,1754
15.03.2021,1746
22.03.2021,1708
29.03.2021,1879
05.04.2021,2010
12.04.2021,2005
19.04.2021,1791
26.04.2021,2161
03.05.2021,2402
10.05.2021,2130
17.05.2021,1390
24.05.2021,1520
31.05.2021,1607
07.06.2021,1609
14.06.2021,1474
21.06.2021,1365
28.06.2021,1449
05.07.2021,1391
12.07.2021,1284
19.07.2021,1420
26.07.2021,1591
02.08.2021,1762
09.08.2021,2005
16.08.2021,2091
23.08.2021,2098
30.08.2021,2368
06.09.2021,2151
13.09.2021,2142
20.09.2021,1963
27.09.2021,2183
04.10.2021,2298
11.10.2021,2492
18.10.2021,2553
25.10.2021,2624
01.11.2021,2775
08.11.2021,2834
15.11.2021,2589
22.11.2021,2529
29.11.2021,2269
06.12.2021,2279
13.12.2021,2188
20.12.2021,2397
27.12.2021,2246
03.01.2022,1964
10.01.2022,2074
17.01.2022,1674
24.01.2022,1695
31.01.2022,1914
07.02.2022,1854
14.02.2022,1714
21.02.2022,1680
28.02.2022,1685
07.03.2022,1661
14.03.2022,1820
21.03.2022,2071
28.03.2022,2127
04.04.2022,1922
11.04.2022,1814
18.04.2022,1796
25.04.2022,1717
02.05.2022,1554
09.05.2022,1335
16.05.2022,1279
23.05.2022,1209
30.05.2022,1214
06.06.2022,1055
13.06.2022,881
20.06.2022,921
27.06.2022,851
04.07.2022,905
11.07.2022,931
18.07.2022,1020
25.07.2022,1060
01.08.2022,1070
08.08.2022,1140
15.08.2022,1000
22.08.2022,922
29.08.2022,961
05.09.2022,1026
12.09.2022,895
19.09.2022,885
26.09.2022,884
03.10.2022,905
10.10.2022,885
17.10.2022,898
24.10.2022,972
31.10.2022,982
07.11.2022,782
14.11.2022,763
21.11.2022,789
28.11.2022,814
05.12.2022,805
12.12.2022,768
19.12.2022,769
26.12.2022,759
02.01.2023,797
09.01.2023,938
16.01.2023,991
23.01.2023,1031
30.01.2023,1016
06.02.2023,968
13.02.2023,1064
20.02.2023,1035
27.02.2023,989
06.03.2023,983
13.03.2023,1142
20.03.2023,1136
27.03.2023,1141
03.04.2023,1151
10.04.2023,1224
17.04.2023,1129
24.04.2023,1163
01.05.2023,1144
08.05.2023,1091
15.05.2023,1083
22.05.2023,1126
29.05.2023,1107
05.06.2023,1024
12.06.2023,1029
19.06.2023,1148
26.06.2023,1164
03.07.2023,1138
10.07.2023,1173
17.07.2023,1166
24.07.2023,1145
31.07.2023,1123
07.08.2023,1134
14.08.2023,1040
21.08.2023,1034
28.08.2023,1025
04.09.2023,1016
11.09.2023,1035
18.09.2023,1023
25.09.2023,1089
02.10.2023,1070
09.10.2023,1039
16.10.2023,1124
23.10.2023,1248
30.10.2023,1308
