Date,Value
29.04.2019,593
06.05.2019,637
13.05.2019,715
20.05.2019,752
27.05.2019,763
03.06.2019,890
10.06.2019,715
17.06.2019,888
24.06.2019,773
01.07.2019,685
08.07.2019,582
15.07.2019,613
22.07.2019,522
29.07.2019,572
05.08.2019,569
12.08.2019,582
19.08.2019,627
26.08.2019,677
02.09.2019,690
09.09.2019,675
16.09.2019,633
23.09.2019,576
30.09.2019,591
07.10.2019,571
14.10.2019,566
21.10.2019,612
28.10.2019,642
04.11.2019,571
11.11.2019,609
18.11.2019,600
25.11.2019,596
02.12.2019,615
09.12.2019,440
16.12.2019,526
23.12.2019,529
30.12.2019,480
06.01.2020,524
13.01.2020,523
20.01.2020,615
27.01.2020,428
03.02.2020,530
10.02.2020,628
17.02.2020,661
24.02.2020,606
02.03.2020,628
09.03.2020,662
16.03.2020,657
23.03.2020,746
30.03.2020,607
06.04.2020,614
13.04.2020,678
20.04.2020,741
27.04.2020,801
04.05.2020,789
11.05.2020,879
18.05.2020,808
25.05.2020,825
01.06.2020,850
08.06.2020,943
15.06.2020,785
22.06.2020,987
29.06.2020,997
06.07.2020,880
13.07.2020,997
20.07.2020,1080
27.07.2020,1138
03.08.2020,1126
10.08.2020,1229
17.08.2020,1152
24.08.2020,1123
31.08.2020,1142
07.09.2020,1027
14.09.2020,1042
21.09.2020,1095
28.09.2020,966
05.10.2020,985
12.10.2020,1005
19.10.2020,995
26.10.2020,965
02.11.2020,1051
09.11.2020,1016
16.11.2020,1037
23.11.2020,1148
30.11.2020,993
07.12.2020,1035
14.12.2020,1143
21.12.2020,1074
28.12.2020,1177
04.01.2021,1234
11.01.2021,1211
18.01.2021,1133
25.01.2021,1118
01.02.2021,1245
08.02.2021,1231
15.02.2021,1207
22.02.2021,1234
01.03.2021,1180
08.03.2021,1180
15.03.2021,1278
22.03.2021,1206
29.03.2021,1212
05.04.2021,1198
12.04.2021,1257
19.04.2021,1397
26.04.2021,1389
03.05.2021,1417
10.05.2021,1717
17.05.2021,1425
24.05.2021,1264
31.05.2021,1280
07.06.2021,1135
14.06.2021,1125
21.06.2021,1057
28.06.2021,1105
05.07.2021,1105
12.07.2021,1102
19.07.2021,1169
26.07.2021,1129
02.08.2021,1191
09.08.2021,1184
16.08.2021,1125
23.08.2021,1184
30.08.2021,1147
06.09.2021,1136
13.09.2021,1211
20.09.2021,1128
27.09.2021,1089
04.10.2021,1130
11.10.2021,1138
18.10.2021,1144
25.10.2021,1261
01.11.2021,1304
08.11.2021,1277
15.11.2021,1276
22.11.2021,1261
29.11.2021,1136
06.12.2021,1386
13.12.2021,1182
20.12.2021,1138
27.12.2021,1207
03.01.2022,1159
10.01.2022,1108
17.01.2022,1163
24.01.2022,1078
31.01.2022,1184
07.02.2022,1174
14.02.2022,1115
21.02.2022,1344
28.02.2022,1125
07.03.2022,1123
14.03.2022,1042
21.03.2022,1119
28.03.2022,1123
04.04.2022,1061
11.04.2022,1104
18.04.2022,1043
25.04.2022,1072
02.05.2022,1155
09.05.2022,1087
16.05.2022,1089
23.05.2022,1056
30.05.2022,1065
06.06.2022,1007
13.06.2022,1022
20.06.2022,1019
27.06.2022,919
04.07.2022,1157
11.07.2022,1246
18.07.2022,1122
25.07.2022,1159
01.08.2022,1167
08.08.2022,1102
15.08.2022,1077
22.08.2022,1025
29.08.2022,1113
05.09.2022,1024
12.09.2022,1157
19.09.2022,1107
26.09.2022,1164
03.10.2022,1069
10.10.2022,980
17.10.2022,1010
24.10.2022,1033
31.10.2022,962
07.11.2022,1133
14.11.2022,927
21.11.2022,881
28.11.2022,962
05.12.2022,1933
12.12.2022,1153
19.12.2022,1045
26.12.2022,944
02.01.2023,1028
09.01.2023,1076
16.01.2023,1025
23.01.2023,1100
30.01.2023,1073
06.02.2023,1072
13.02.2023,1067
20.02.2023,1096
27.02.2023,1092
06.03.2023,1066
13.03.2023,1068
20.03.2023,1084
27.03.2023,1151
03.04.2023,1044
10.04.2023,1166
17.04.2023,1010
24.04.2023,987
01.05.2023,1209
08.05.2023,1071
15.05.2023,1074
22.05.2023,1060
29.05.2023,1103
05.06.2023,1047
12.06.2023,1147
19.06.2023,1055
26.06.2023,1129
03.07.2023,1038
10.07.2023,1110
17.07.2023,1111
24.07.2023,1015
31.07.2023,1075
07.08.2023,1050
14.08.2023,1081
21.08.2023,1011
28.08.2023,1081
04.09.2023,1026
11.09.2023,1007
18.09.2023,1014
25.09.2023,1003
02.10.2023,975
09.10.2023,1025
16.10.2023,994
23.10.2023,1007
30.10.2023,1035
